mode_index,eigenvalue_mag,phase_rad,freq_hz,period_s,tau_s
34,0.99263644,2.8699653,0.22838458,4.3785796,270.6066
40,0.99190885,-0.24778253,0.019717906,50.715324,246.18224
47,0.99100417,0.49394208,0.03930666,25.44098,221.32372
48,0.9905883,-0.21793538,0.017342746,57.660995,211.50005
75,0.9898819,1.2886207,0.10254517,9.7518,196.66335
2,0.978541,1.6376574,0.13032064,7.6733823,92.19744
80,0.9774133,1.8813432,0.14971253,6.6794677,87.54387
89,0.9684033,-1.9931762,0.15861192,6.3046966,62.29236
33,0.96791553,-2.3748496,0.18898451,5.2914386,61.33003
91,0.96642995,2.701256,0.21495911,4.652047,58.571224
77,0.96564704,-3.0758023,0.24476457,4.085559,57.213318
66,0.9583762,-2.5719085,0.20466597,4.88601,47.042377
81,0.9557456,-1.2074126,0.09608284,10.407686,44.18568
79,0.9529743,-2.6073396,0.20748548,4.819614,41.521923
21,0.948239,-3.0315359,0.24124195,4.145216,37.630295
6,0.9381668,2.0412812,0.16243999,6.1561193,31.334442
24,0.937946,-0.10800725,0.008594944,116.34747,31.219328
59,0.93512285,-1.1608065,0.09237405,10.825552,29.816317
16,0.9306436,-0.18055947,0.014368466,69.596855,27.824587
64,0.9285313,-2.7160325,0.216135,4.626738,26.971918
58,0.925022,-0.50123763,0.039887223,25.070686,25.661505
44,0.91183394,0.90781176,0.072241366,13.842485,21.669086
26,0.9079083,-2.6714602,0.21258804,4.7039337,20.70139
53,0.9065156,-1.38247,0.11001346,9.089796,20.377586
5,0.9041631,-3.0548756,0.24309927,4.113546,19.852005
67,0.9041483,0.5100721,0.04059025,24.63646,19.848772
28,0.8929222,-0.777076,0.06183774,16.171354,17.65914
54,0.89289594,3.0065026,0.23924987,4.1797304,17.65455
60,0.8927407,2.6125865,0.20790303,4.809935,17.627502
7,0.8894175,-0.6492656,0.05166691,19.354746,17.06652
68,0.88487875,-0.10677273,0.008496704,117.6927,16.35261
1,0.88482636,1.2529106,0.09970345,10.029742,16.344696
74,0.8785167,-1.3502266,0.10744762,9.306861,15.441585
61,0.87490815,-2.8790731,0.22910936,4.364728,14.965985
42,0.86048925,-0.0906952,0.0072172945,138.55608,13.31078
78,0.85740477,-3.1076944,0.24730246,4.0436316,13.000084
93,0.8515218,0.2697219,0.021463785,46.590103,12.4432125
84,0.8475172,0.90875757,0.072316624,13.828078,12.088673
43,0.84666646,-1.9810412,0.15764624,6.3433166,12.015732
65,0.84559053,1.5227314,0.12117511,8.25252,11.924633
95,0.8444886,1.032206,0.08214035,12.174285,11.832638
3,0.84154993,-2.1762073,0.17317706,5.7744365,11.593536
57,0.8413823,-2.828701,0.22510087,4.442453,11.580165
41,0.834694,1.877646,0.14941831,6.69262,11.068678
69,0.83369887,2.5093677,0.19968913,5.007784,10.996079
31,0.83049405,2.7537937,0.21913993,4.5632944,10.768057
8,0.8275548,-3.1382346,0.24973276,4.00428,10.56636
72,0.82572526,0.21174973,0.016850509,59.345394,10.444235
15,0.81801516,1.1061685,0.08802609,11.360269,9.95647
46,0.8144252,2.0870314,0.16608067,6.02117,9.743135
32,0.80281633,-0.94181997,0.07494765,13.342647,9.106253
49,0.799084,-3.0175607,0.24012984,4.1644135,8.917059
17,0.798371,-3.126677,0.24881305,4.019082,8.881711
13,0.79526466,0.06705664,0.0053361976,187.39935,8.730563
11,0.7948548,2.9091282,0.23150106,4.3196344,8.710961
25,0.79430985,2.6119409,0.20785165,4.811124,8.685016
14,0.7892452,1.2442744,0.099016204,10.099357,8.450291
29,0.7843408,-0.8097584,0.06443853,15.518666,8.233446
38,0.7838223,-2.92872,0.23306012,4.290738,8.211093
94,0.7805468,-1.7836813,0.14194085,7.0451884,8.0723095
22,0.7633722,0.3088768,0.024579635,40.684086,7.4071445
51,0.76071364,2.392341,0.19037643,5.252751,7.3126597
88,0.758592,1.6990145,0.13520327,7.3962703,7.238739
37,0.75162244,0.2155047,0.01714932,58.31135,7.004736
73,0.7461832,1.3755939,0.109466285,9.135233,6.830972
87,0.7364903,-2.8138847,0.22392182,4.465844,6.538956
27,0.72367436,-1.2708933,0.10113448,9.887825,6.1840286
12,0.72221315,1.9891953,0.15829512,6.3173137,6.1456213
71,0.718986,2.345702,0.18666503,5.35719,6.0621967
23,0.70298433,1.5646291,0.12450922,8.031533,5.675036
