,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M34,0.0019494941,0.005411499,0.0037277637,0.0011510677,0.0026439256,0.0018007926,0.003005049,0.0040374463,0.0048516425,0.0042074714,0.0023674448,0.0018503725,0.0019283458,0.003747641,0.0036992657,0.0009172843,0.0028207835,0.0012430049,0.0015011582,0.002161911,0.00051356695,0.002241012,0.0018098851,0.0036734932
M40,0.00041586696,0.001211814,0.0022244193,0.00054312806,0.0019485591,0.0012799274,0.0011491214,0.0020455492,0.0029998426,0.0012522673,0.0011986194,0.0012757408,0.0011064874,0.0011722797,0.0020009517,0.00173862,0.0004997585,0.0010583983,0.0012680283,0.00036638428,0.0015338649,0.0014988127,0.002544175,0.0017018049
M47,0.0008607463,0.0012825236,0.0008824266,0.0022739768,0.0026927604,0.0010652065,0.0024790515,0.0013482529,0.0019603705,0.0024590604,0.0020717238,0.00051296304,0.0015998484,0.0019073226,0.0025288635,0.0029067532,0.0016718317,0.00090285705,0.001606518,0.002809338,0.0017204212,0.0017124343,0.0012819899,0.0020876597
M48,0.0025481882,0.0014511007,0.0016806765,0.0021479877,0.0019767901,0.00078828173,0.0029983795,0.00104269,0.0011470423,0.0019334073,0.00052744715,0.0011525603,0.00152131,0.0023911705,0.0019089024,0.001510963,0.0015521557,0.002191685,0.0015880441,0.00049299956,0.0020375515,0.0006108733,0.0009970344,0.0020100945
M75,0.0022613592,0.004338887,0.0054058386,0.0036882453,0.0012824422,0.004356699,0.0014116908,0.0011324505,0.00097273896,0.0034220899,0.002048278,0.0016261161,0.0023582492,0.0029705486,0.0023104257,0.0010023694,0.002392154,0.0029747612,0.001877688,0.0018978479,0.0021824758,0.0026245127,0.0026645942,0.002648262
M2,0.004127451,0.0020960807,0.005843945,0.0023919365,0.006755555,0.0025663413,0.0036932372,0.00558169,0.0044172253,0.005886579,0.0061063846,0.00562737,0.0012541527,0.000979234,0.005961593,0.0008014563,0.006319952,0.0018943545,0.00066974555,0.0034019037,0.0035646062,0.0064547467,0.0021773246,0.00240134
M80,0.007936757,0.00807886,0.0025513305,0.0030711985,0.0042949775,0.0031653668,0.0031139408,0.0016235779,0.0036276942,0.0051268227,0.0026212477,0.0019491587,0.0061888616,0.003940333,0.0074873385,0.0012215001,0.0062279827,0.00684449,0.0045914366,0.0058337403,0.0021053308,0.0036262104,0.007381116,0.0046122936
M89,0.007473927,0.0016918211,0.015993528,0.008715799,0.007751646,0.008278275,0.010573557,0.0048398445,0.008650262,0.006620748,0.0080298195,0.009974935,0.002056863,0.0063568926,0.009006103,0.0059863906,0.005842125,0.012373107,0.0083201695,0.012368167,0.0073406515,0.009677341,0.008681119,0.0051385476
M33,0.010726662,0.005253645,0.011449811,0.01300458,0.0045046015,0.0057260403,0.0080086365,0.004453268,0.008316703,0.0076522008,0.013305679,0.00990344,0.009417524,0.004645476,0.0028747863,0.0049444074,0.003315863,0.0088623045,0.0038996977,0.011944705,0.009450626,0.011327522,0.0054203947,0.002678936
M91,0.006002424,0.011313788,0.0073086955,0.012290697,0.009778894,0.017543787,0.015848571,0.009760561,0.005369856,0.009648016,0.0032651417,0.013149167,0.0071176053,0.00804337,0.0041763666,0.009550577,0.009146732,0.012500203,0.0044420273,0.0044315383,0.01383893,0.003138185,0.0056921765,0.008797429
M77,0.0063975723,0.017002802,0.008123616,0.003957019,0.007942192,0.011369715,0.0072930604,0.0083345575,0.0135221565,0.004729492,0.010288071,0.011087501,0.006996783,0.0011123896,0.0058716717,0.01004054,0.0046791197,0.010810483,0.014177209,0.012097239,0.0077239797,0.004210583,0.0102872215,0.0025394028
M66,0.025432214,0.007916182,0.006537027,0.0063790516,0.019508861,0.021411808,0.006882318,0.009606094,0.007813475,0.0059361467,0.0031252487,0.0048697707,0.006242242,0.012375031,0.011409062,0.009233285,0.009781096,0.027077327,0.01692259,0.00990103,0.01402866,0.0022858896,0.010750029,0.012898018
M81,0.017540043,0.011626847,0.0013013948,0.01303445,0.01082223,0.0014192718,0.018339654,0.010142752,0.0039354474,0.008422841,0.0027700919,0.0041556484,0.013630209,0.0072160177,0.00215964,0.016094677,0.00615745,0.005476051,0.010888071,0.006789187,0.015472102,0.012010991,0.019452063,0.008942988
M79,0.012002056,0.017744156,0.011316346,0.008848463,0.0191983,0.019446243,0.013815791,0.023670936,0.010680341,0.002129045,0.021267831,0.013045661,0.017994596,0.020482663,0.0073968507,0.0038139073,0.01864716,0.018830156,0.004670689,0.013034134,0.014734052,0.013166986,0.004611052,0.004152512
M21,0.008731468,0.01654431,0.015025077,0.028858006,0.022188874,0.028094055,0.01591377,0.017267104,0.021030176,0.007123155,0.010717586,0.0046326723,0.0043776645,0.027161356,0.0046072737,0.011124437,0.0107557075,0.008702296,0.006097334,0.0076793353,0.0054387082,0.026193595,0.013058456,0.00272524
M6,0.013782671,0.013663015,0.004641722,0.01728875,0.0033046622,0.0010314159,0.019433666,0.012139874,0.028128063,0.037124354,0.009182861,0.008294871,0.0033501028,0.015903743,0.0108035505,0.009178612,0.019025011,0.01540888,0.016315138,0.022518277,0.013768899,0.022061417,0.013292636,0.044518463
M24,0.007104146,0.012588489,0.004692908,0.0143888,0.010433709,0.009333821,0.01231129,0.01341906,0.013631393,0.005406929,0.011191693,0.009298346,0.015774842,0.0020461022,0.01089005,0.008071559,0.0033314473,0.004532086,0.003002454,0.012202685,0.004775433,0.0075849094,0.0032718244,0.0022839068
M59,0.014706795,0.0115850065,0.004988492,0.014060052,0.0050586984,0.004183065,0.01846744,0.027292186,0.012694714,0.005182111,0.011670693,0.012870388,0.029805932,0.003735684,0.016730897,0.010705499,0.020750493,0.0071601123,0.012086613,0.012094648,0.011963043,0.019577999,0.019121505,0.012090085
M16,0.010924903,0.007277644,0.0048079495,0.011443056,0.013569699,0.012233152,0.010396848,0.024300415,0.004731984,0.015832532,0.028846754,0.0037473822,0.017481552,0.007389534,0.009937779,0.0049762945,0.012909794,0.010144503,0.006510205,0.010168247,0.0022782797,0.0033112196,0.013598063,0.019587694
M64,0.017401244,0.0127129685,0.009325964,0.0034365742,0.0345873,0.029071925,0.0127234785,0.026611203,0.0063133277,0.0051151537,0.028422648,0.018480917,0.032865755,0.034011442,0.021341547,0.020463467,0.01986173,0.033473827,0.03226908,0.047310855,0.025416581,0.011454413,0.017383425,0.014584585
M58,0.025519878,0.0054062395,0.00839752,0.022779202,0.0031038888,0.015007005,0.016687308,0.03623969,0.019540707,0.011428646,0.018984938,0.010014709,0.013670185,0.016535249,0.015367783,0.016046287,0.0041102627,0.011936588,0.01769289,0.00546828,0.012533955,0.008081558,0.0078486875,0.013999708
M44,0.012508766,0.0065000765,0.020474246,0.041314024,0.0056148777,0.023874545,0.011022282,0.00037743888,0.017782537,0.040501293,0.0046532103,0.029097954,0.017297741,0.01583077,0.014272648,0.014709093,0.0024561814,0.0060716025,0.018706976,0.004558662,0.024839504,0.0151506625,0.039979465,0.03005856
M26,0.024909718,0.01412486,0.00841893,0.02346736,0.026477367,0.024731554,0.034089487,0.014339763,0.028528472,0.015820254,0.017512092,0.009553831,0.022489607,0.02215211,0.023091745,0.017768765,0.06429539,0.04278564,0.011853781,0.020737588,0.015006873,0.027841296,0.011689868,0.026339361
M53,0.010814748,0.015867421,0.0003868286,0.016133206,0.04418666,0.024794329,0.01457718,0.035022054,0.035563167,0.023701083,0.030366858,0.023087623,0.035465848,0.028733985,0.015137016,0.051807195,0.03805989,0.034447975,0.021839397,0.021749651,0.019474562,0.042892568,0.034022905,0.026537823
M5,0.03333893,0.039240517,0.037140224,0.025646076,0.012698913,0.004470512,0.055597894,0.00086728245,0.015982829,0.018338423,0.032607783,0.019580303,0.0035359615,0.06265896,0.05420275,0.013698169,0.005797037,0.024846623,0.02829587,0.02403825,0.063705616,0.02003847,0.03141257,0.033613466
M67,0.022368351,0.013954103,0.017004147,0.01096376,0.015339352,0.013430475,0.025712293,0.04791842,0.048564427,0.021701388,0.036678363,0.0146888625,0.023290712,0.01345161,0.03380667,0.012255192,0.022129072,0.020528274,0.027284963,0.006989186,0.02406815,0.009260265,0.009272786,0.019585675
M28,0.029583868,0.013213425,0.02384051,0.01437728,0.009287587,0.029957054,0.022588974,0.020484077,0.00936325,0.04402207,0.031991325,0.018539371,0.005791355,0.0152432965,0.021554863,0.014558173,0.024355534,0.01682618,0.00900011,0.012393325,0.014293794,0.0109756,0.012682072,0.02306442
M54,0.0552832,0.015203377,0.04664035,0.031901363,0.019240584,0.086900294,0.026030159,0.013881148,0.03738025,0.031701215,0.049979225,0.040864572,0.052367646,0.016892191,0.011881492,0.009802078,0.057596307,0.049033143,0.0048941416,0.031501714,0.032661572,0.027607579,0.00088719785,0.063018
M60,0.05065081,0.028195653,0.04176278,0.07214865,0.055000804,0.056754768,0.03015686,0.06314781,0.056722652,0.019340262,0.061618727,0.022317046,0.01368305,0.022451311,0.0112578105,0.032537,0.025991078,0.010589276,0.054057218,0.042091403,0.010428866,0.026585188,0.031524252,0.07670005
M7,0.0138155855,0.014249605,0.022622962,0.023543727,0.017136348,0.008631829,0.0274302,0.007064144,0.036614757,0.0035703124,0.021123564,0.01573538,0.023397695,0.022374867,0.011577443,0.026163107,0.021726096,0.028455673,0.017163677,0.04896375,0.022248233,0.038113605,0.010927421,0.01065213
M68,0.036774527,0.01012968,0.0059448173,0.025041265,0.018282954,0.021926988,0.042586565,0.03791525,0.055729035,0.017103415,0.01924567,0.005758035,0.023711735,0.05116871,0.052510086,0.026950335,0.0004533619,0.027672408,0.01014074,0.010178599,0.02525148,0.017356712,0.024394047,0.0048269113
M1,0.030412156,0.013101413,0.03602108,0.044902496,0.028484179,0.007334531,0.02052172,0.0041768937,0.038225632,0.012233897,0.044808388,0.03442096,0.061036207,0.032374684,0.026252994,0.0402891,0.023949703,0.03083468,0.021049207,0.018507829,0.003900253,0.026671523,0.029428158,0.010098299
M74,0.03573432,0.04166238,0.05115405,0.037456166,0.030070547,0.013047844,0.029380608,0.020687995,0.05795308,0.04371515,0.024284529,0.033850346,0.0056981687,0.03249504,0.023840401,0.055428088,0.039274473,0.019992823,0.023928804,0.021089258,0.052682538,0.02771752,0.00845823,0.040884897
M61,0.007041928,0.0458664,0.028882872,0.103692695,0.021248743,0.06030965,0.055571865,0.051896203,0.021393327,0.028404973,0.040173184,0.0165707,0.058067176,0.02666869,0.08576351,0.068797246,0.068256736,0.066548675,0.046743296,0.016440026,0.02970318,0.024543887,0.02020051,0.02303867
M42,0.044312607,0.027228663,0.028797641,0.028603917,0.035564046,0.021022255,0.046871096,0.032961097,0.04543102,0.0065683303,0.04937978,0.06663183,0.024558246,0.011250211,0.042976655,0.010265455,0.019779025,0.025967969,0.013471536,0.012814803,0.022195539,0.03688102,0.009588192,0.0272273
M78,0.07740341,0.035972595,0.047103394,0.106917314,0.015289003,0.07530024,0.086067826,0.09833004,0.053560708,0.045303434,0.071916394,0.03319297,0.0340308,0.046561804,0.07319102,0.03268926,0.13122877,0.076605506,0.018863415,0.05050458,0.023439812,0.022620048,0.08051843,0.061613936
M93,0.042208627,0.06381299,0.016252209,0.053448875,0.022783266,0.043983564,0.0293119,0.0316,0.070150964,0.05425078,0.06503381,0.0066386745,0.091601186,0.031077433,0.037829917,0.033226244,0.0021072912,0.04054996,0.030229282,0.007952337,0.04181006,0.024710352,0.059365377,0.07802471
M84,0.022595944,0.047027223,0.035272047,0.07293809,0.030375512,0.0409196,0.021487394,0.05627841,0.029359628,0.021549266,0.06764241,0.08087843,0.0038825297,0.039258912,0.03440827,0.033040404,0.027993914,0.0180665,0.050477717,0.032996405,0.013884347,0.017686184,0.06527634,0.06953666
M43,0.036400966,0.025898995,0.111732945,0.027563525,0.061614145,0.050273713,0.048265323,0.04513835,0.018251767,0.035972666,0.07037249,0.030787084,0.026313681,0.029663764,0.06490415,0.041347798,0.05725225,0.07700221,0.056245577,0.020049173,0.03205156,0.011075374,0.034801766,0.054143973
