target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_Ca,5.1072540283203125,3.573892116546631,3.804727077484131,4.162492275238037,4.344880104064941,5.047726631164551,2.8762378692626953,2.653658151626587,3.834611177444458,4.046630382537842,2.881016731262207,3.6504080295562744,2.6142325401306152,3.498687744140625,3.519982099533081,3.7217743396759033,4.2524614334106445,4.607717037200928,4.088871479034424,4.406096935272217,4.542939186096191,3.975255012512207,3.550875425338745,4.616921424865723
lh_GPe,3.3777661323547363,2.730325222015381,2.764141798019409,3.7512574195861816,3.3775951862335205,3.5176079273223877,2.8628671169281006,2.3344063758850098,3.5291078090667725,3.0330851078033447,2.330152988433838,2.5711984634399414,1.8983609676361084,2.5051002502441406,2.893739700317383,2.6252574920654297,3.14290714263916,2.4604318141937256,2.563368320465088,2.7676925659179688,3.1362972259521484,3.359260082244873,2.8359968662261963,3.3427884578704834
lh_GPi,4.287749767303467,3.099010467529297,3.0758047103881836,3.410632371902466,3.566171407699585,3.908019542694092,2.423731565475464,2.487591028213501,3.5755670070648193,3.142331600189209,2.522456645965576,3.2745466232299805,2.5034806728363037,3.1708498001098633,3.177452564239502,2.4269254207611084,3.425497531890869,3.606964588165283,3.353628158569336,3.4756433963775635,3.689309597015381,3.5284833908081055,2.935493230819702,3.996814727783203
lh_Pu,3.3716068267822266,3.037428855895996,2.824974298477173,3.090078353881836,3.5292980670928955,3.5383219718933105,2.9734253883361816,2.5766570568084717,3.1731135845184326,3.3544676303863525,2.0609755516052246,3.333117961883545,2.3206191062927246,2.5774874687194824,2.6709115505218506,2.9760565757751465,3.3272228240966797,3.078841209411621,2.6373565196990967,2.702744722366333,3.4540021419525146,2.976536512374878,2.859128475189209,4.05209493637085
lh_STH,3.8962936401367188,2.3389244079589844,3.2165002822875977,3.2355785369873047,3.718658924102783,3.821188449859619,2.158132314682007,2.3786957263946533,3.477525472640991,2.9114139080047607,2.2250125408172607,3.825138807296753,2.101247549057007,3.0747642517089844,2.8193976879119873,3.2860755920410156,2.623861312866211,3.6141436100006104,3.055694580078125,3.075113296508789,3.333221435546875,3.3853302001953125,3.0132195949554443,4.129751682281494
lh_cerebellum_dentate,4.174968242645264,2.3627943992614746,3.045659303665161,3.825568199157715,3.215338706970215,4.330712795257568,2.7899718284606934,2.0628223419189453,3.556475877761841,3.4452526569366455,2.5542094707489014,3.433244228363037,2.0504722595214844,2.4172818660736084,3.0231988430023193,2.932027578353882,3.298283815383911,4.03713846206665,3.35551118850708,3.0067620277404785,3.894841432571411,3.091752767562866,2.536510467529297,3.748431921005249
lh_cerebellum_motor,4.996253967285156,3.893369674682617,3.619486093521118,4.6024603843688965,4.373396873474121,5.1721601486206055,2.250755786895752,2.657538890838623,4.064709663391113,3.3245556354522705,3.087780475616455,4.207059383392334,2.551945209503174,3.783041477203369,3.554340362548828,3.4638004302978516,4.05550479888916,4.880710601806641,4.1067118644714355,4.098685264587402,4.278294563293457,4.085084438323975,3.501021385192871,4.888400077819824
lh_paracentral_smooth3mm,4.110391616821289,2.8136017322540283,3.893414258956909,4.189942836761475,3.9279072284698486,5.4951300621032715,3.4594151973724365,2.6412272453308105,3.436184883117676,3.6239187717437744,2.546139717102051,4.011100769042969,2.353627920150757,3.1654739379882812,3.798278331756592,3.6260433197021484,3.833710193634033,4.492610931396484,3.5927112102508545,3.955461025238037,3.9503557682037354,4.068222522735596,3.514871835708618,4.238546848297119
lh_postcentral_smooth3mm,3.82831072807312,2.730424165725708,2.988616704940796,3.318737506866455,3.7353367805480957,3.514909505844116,2.3882346153259277,2.519428014755249,3.767408847808838,3.1359570026397705,2.259413480758667,3.510612726211548,2.0921874046325684,2.5418148040771484,2.594627618789673,2.999265193939209,2.9031801223754883,3.080605983734131,2.7469632625579834,2.43603253364563,2.9319229125976562,2.4442474842071533,2.7111093997955322,3.3205478191375732
lh_precentral_smooth3mm,4.355648517608643,2.650265693664551,3.0294854640960693,2.970513343811035,3.569516181945801,3.6756844520568848,1.7532438039779663,2.068225145339966,2.6268434524536133,2.4116835594177246,2.027428150177002,3.494124174118042,1.975140929222107,3.0866823196411133,3.1616897583007812,2.3548781871795654,3.4788401126861572,3.6189026832580566,3.142808437347412,3.998011350631714,3.4520254135131836,3.3467369079589844,3.083207130432129,3.994227409362793
