mode_index,eigenvalue_mag,phase_rad,freq_hz,period_s,tau_s
23,0.9935163,-0.48811373,0.038842857,25.74476,307.466
43,0.9914714,2.1770306,0.17324258,5.772253,233.5039
48,0.98477495,-2.6925325,0.21426493,4.6671195,130.35988
70,0.9821184,-2.6710076,0.21255203,4.7047305,110.84398
57,0.9794111,-1.0172943,0.0809537,12.352739,96.13637
30,0.9789385,-1.7975792,0.1430468,6.990719,93.956535
87,0.97732323,0.3754301,0.029875778,33.47193,87.19217
61,0.9771424,-2.887623,0.22978973,4.3518043,86.49436
34,0.9768849,1.839399,0.14637472,6.831781,85.51964
28,0.9729054,-0.1910594,0.015204024,65.772064,72.81087
91,0.9678337,-1.5814737,0.12584968,7.9459877,61.17142
5,0.9652837,0.6684506,0.053193606,18.799252,56.603924
27,0.9623569,1.8065209,0.14375837,6.956117,52.12423
20,0.9609311,0.7343223,0.05843551,17.112883,50.185
93,0.9606127,0.09847551,0.007836432,127.6091,49.77111
79,0.9595283,1.380657,0.10986919,9.101733,48.410397
17,0.9520361,2.848175,0.22665057,4.4120784,40.68982
71,0.95072275,-0.26564485,0.021139344,47.305157,39.578262
49,0.9446843,1.743231,0.13872191,7.2086663,35.146637
88,0.94036645,0.74345994,0.05916266,16.902554,32.52792
69,0.92896634,-0.66013414,0.052531805,19.036087,27.143387
80,0.92875636,0.119992375,0.009548689,104.72641,27.060362
31,0.92753196,-1.9312481,0.15368384,6.506865,26.585836
9,0.9216436,2.3034132,0.1832998,5.4555435,24.510805
32,0.92085844,-2.2220967,0.17682883,5.655186,24.257433
33,0.92036694,-0.7155884,0.056944713,17.560892,24.10137
11,0.9177156,-0.31157002,0.024793953,40.332413,23.291636
74,0.9171775,2.943726,0.23425427,4.2688656,23.13362
53,0.9169554,0.82319874,0.065508075,15.265294,23.069
76,0.91688824,2.9870782,0.23770413,4.2069106,23.049522
3,0.9115218,2.4990988,0.19887196,5.028361,21.588999
50,0.9092075,1.2940456,0.10297687,9.710918,21.012396
89,0.90804565,2.055673,0.16358525,6.113021,20.733847
25,0.90781605,-1.9290398,0.15350811,6.5143137,20.679634
92,0.9071067,-0.9930809,0.07902686,12.653925,20.51383
19,0.90426147,-2.765369,0.22006106,4.5441933,19.87346
22,0.8988698,-2.104912,0.16750358,5.9700217,18.758724
95,0.8972234,0.093879834,0.0074707195,133.85591,18.441612
52,0.89576715,0.80275,0.063880816,15.654153,18.169466
47,0.8922788,-0.19822627,0.015774345,63.394073,17.547453
82,0.8903189,-0.45510513,0.036216114,27.612019,17.215319
51,0.8887768,-2.87912,0.22911309,4.364657,16.96221
21,0.88006717,-2.7608535,0.21970174,4.5516253,15.6547165
60,0.87825316,1.2362416,0.098376974,10.16498,15.4059
65,0.8745858,-0.13021596,0.010362256,96.50408,14.924831
1,0.87107974,-0.9804519,0.07802188,12.816917,14.49047
75,0.8690944,0.70336384,0.055971913,17.866104,14.254805
39,0.8685692,0.9527861,0.075820304,13.189079,14.193655
58,0.8651991,-2.0122225,0.16012758,6.2450204,13.812572
81,0.86224276,2.0573614,0.16371961,6.1080036,13.493598
