roi,n_entries,pct_instantaneous_C,pct_accumulated_K,var_total
lh_Ca,38,98.00948863196886,1.984058728205681,35.43263
lh_GPe,38,97.58058908548998,2.4179218783360965,35.21832
lh_GPi,38,96.51860135310292,3.4852148177559155,35.488396
lh_Pu,38,97.56705290513958,2.429428124398299,35.20911
lh_STH,38,97.6141345763832,2.3823710580478763,35.937984
lh_cerebellum_dentate,38,98.09613013611005,1.8970017462330073,35.928513
lh_cerebellum_motor,38,95.7860644043047,4.225739500298074,35.59463
lh_paracentral_smooth3mm,38,96.36871776778084,3.6426064164690968,36.536076
lh_postcentral_smooth3mm,38,95.64134460820476,4.376802295345096,35.9049
lh_precentral_smooth3mm,38,95.22838348119197,4.794054880585911,36.347843
lh_superiorfrontal_smooth3mm,38,95.118856180618,4.898777020028404,35.730915
lh_vim,38,97.335509778804,2.6616808564210217,35.75869
lh_zi,38,97.26340463727804,2.7376646702064464,35.784073
rh_Ca,38,96.548386847593,3.4566964288989426,35.684032
rh_GPe,38,97.19368438539445,2.8080815809192177,35.76391
rh_GPi,38,97.53977309857166,2.457294537241533,36.0576
rh_Pu,38,97.30094258283167,2.698892031204111,36.056828
rh_STH,38,97.69141014522185,2.3062055057144324,36.49211
rh_cerebellum_dentate,38,98.56037110514106,1.4293464776961402,35.85676
rh_cerebellum_motor,38,96.23168225617562,3.7769083955258447,35.42129
rh_paracentral_smooth3mm,38,94.75861642585905,5.265195183647045,36.32698
rh_postcentral_smooth3mm,38,94.18051594292659,5.848316631360313,36.05416
rh_precentral_smooth3mm,38,96.85307871514313,3.1559799406326556,36.516
rh_superiorfrontal_smooth3mm,38,96.36104795714809,3.6480122500596286,35.50722
