target_ROI,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
lh_Ca,2.7045087814331055,3.363865375518799,3.4647650718688965,4.133172512054443,4.468778133392334,3.891608476638794,3.5346455574035645,5.269469261169434,5.64985466003418,5.199592113494873,2.4963715076446533,2.824862003326416,4.703680515289307,2.6766786575317383,3.403282642364502,4.415539264678955,3.818147659301758,4.102294445037842,2.585594892501831,4.063432216644287,4.767869472503662,3.991431951522827,2.6940577030181885,4.717527866363525
lh_GPe,3.382467269897461,3.34944748878479,4.470774173736572,5.103754997253418,3.9350781440734863,4.349944114685059,3.9837095737457275,5.575466632843018,5.801340103149414,5.585649490356445,2.976205825805664,3.650054693222046,5.844597339630127,3.2442827224731445,4.236852645874023,5.865321636199951,4.497626781463623,4.126011371612549,3.7722220420837402,3.6266684532165527,4.563985824584961,4.670392036437988,3.185539722442627,5.049941062927246
lh_GPi,4.231127738952637,3.422734498977661,5.027989387512207,5.233580589294434,4.516883373260498,5.763967514038086,5.020163059234619,5.8499755859375,6.791978359222412,6.546165943145752,3.296133041381836,3.593665838241577,6.618948459625244,4.206755638122559,5.251287460327148,7.011621475219727,5.582738399505615,4.6264328956604,4.00754451751709,4.3782243728637695,5.498056888580322,5.465667247772217,3.366236686706543,6.284611701965332
lh_Pu,3.349642038345337,3.433415651321411,5.115666389465332,5.628396034240723,4.259682655334473,4.514785289764404,3.8088412284851074,6.38780403137207,6.798408508300781,6.219416618347168,3.31469988822937,4.0368804931640625,6.508084774017334,3.7156338691711426,4.261378288269043,6.32883882522583,4.847684860229492,4.297391414642334,4.005249500274658,4.221510410308838,5.251186847686768,5.503575801849365,3.1333577632904053,5.290457725524902
lh_STH,3.273499011993408,3.4386539459228516,4.278474807739258,5.028698921203613,3.166238784790039,4.389837265014648,4.015319347381592,5.886135101318359,6.38108491897583,5.794430255889893,3.001436948776245,3.217484712600708,5.883598804473877,3.7953402996063232,5.101312637329102,5.9306535720825195,4.6430182456970215,4.114565372467041,3.556490659713745,3.720886707305908,4.628861427307129,4.674084663391113,2.9213738441467285,5.370455741882324
lh_cerebellum_dentate,2.827608585357666,2.7908718585968018,3.5111377239227295,4.348337650299072,3.5116097927093506,3.184016704559326,3.1981475353240967,4.543283939361572,5.108613967895508,4.720456123352051,2.8749611377716064,3.112067461013794,4.685516834259033,2.5239806175231934,3.073160171508789,4.703545570373535,3.6265580654144287,3.3715975284576416,3.1540892124176025,3.0384204387664795,4.084522247314453,3.8462066650390625,2.620469331741333,4.351151466369629
lh_cerebellum_motor,2.8454606533050537,3.2034964561462402,3.7886414527893066,4.662197113037109,4.562349319458008,4.367880344390869,4.204226970672607,5.176970481872559,6.162863731384277,5.4867939949035645,2.8058013916015625,3.491776466369629,5.259246349334717,3.0813093185424805,4.088347911834717,5.170993328094482,3.814659595489502,3.6317217350006104,3.2162857055664062,4.28023099899292,5.092654705047607,4.804646015167236,2.5861551761627197,5.66494607925415
lh_paracentral_smooth3mm,2.741065502166748,2.766141414642334,3.793966770172119,4.694579124450684,3.7763071060180664,4.437119007110596,3.5369720458984375,4.8452067375183105,5.205174446105957,5.350125789642334,2.5686986446380615,3.5884735584259033,4.78129243850708,3.0635151863098145,3.7033016681671143,5.080607891082764,4.059247016906738,3.772801160812378,2.73664927482605,3.4223785400390625,4.464671611785889,4.190760135650635,2.7382490634918213,5.0228071212768555
lh_postcentral_smooth3mm,2.1587634086608887,2.672356605529785,2.6696107387542725,2.9039194583892822,3.1477251052856445,2.6753623485565186,2.5440611839294434,3.346668243408203,3.4516754150390625,3.964942693710327,2.319017171859741,2.277371644973755,3.0463168621063232,2.0306966304779053,2.2156240940093994,2.763934850692749,2.4576218128204346,2.332150459289551,2.4379160404205322,2.3630378246307373,3.292855739593506,3.3220434188842773,1.9557830095291138,3.097100019454956
lh_precentral_smooth3mm,2.8510396480560303,2.6144931316375732,3.245985269546509,3.1899595260620117,3.738754987716675,3.7534332275390625,3.2348368167877197,3.823791265487671,4.198987007141113,4.482632160186768,2.6186678409576416,2.79658579826355,3.7767789363861084,2.806445598602295,2.795008659362793,4.142243385314941,3.130326986312866,2.854125499725342,2.7348930835723877,3.4545159339904785,3.4052746295928955,4.080554485321045,2.2121427059173584,3.9480159282684326
