,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M23,0.0033046966,0.0021412289,0.0019255072,0.006855939,0.0038370881,0.003061535,0.0024335952,0.0041047037,0.0081327045,0.0065155695,0.005085014,0.003528554,0.0015178269,0.0013693037,0.004908675,0.0017966211,0.00053425826,0.005926825,0.0044044056,0.0009169911,0.004428298,0.003922397,0.0042861016,0.0032985646
M43,0.006093172,0.0024880625,0.00937101,0.0059400303,0.009075337,0.008150837,0.0027610906,0.0036570535,0.0057889572,0.007568422,0.00862337,0.0071321935,0.0067558074,0.005339468,0.013023836,0.008935198,0.0054904614,0.00488094,0.005539722,0.004502552,0.0068101264,0.0022957746,0.0016341243,0.004462979
M48,0.00894812,0.006356469,0.0105082765,0.009475809,0.016083134,0.008624134,0.008584215,0.00565932,0.0074884566,0.0053577567,0.0044498015,0.01577567,0.0040715747,0.013682407,0.008490167,0.019931683,0.012187578,0.012285806,0.013874091,0.00792021,0.0133801745,0.011443491,0.015555672,0.011168452
M70,0.010139815,0.012156851,0.009700473,0.0142557565,0.017323233,0.013230899,0.013041511,0.009610541,0.014664348,0.012819766,0.015777444,0.016480107,0.011133682,0.009396045,0.00422108,0.009040949,0.008264492,0.006280585,0.013907788,0.016675187,0.014183521,0.0015721993,0.0006462258,0.006814459
M57,0.0037173952,0.012088185,0.010370305,0.017391134,0.0051218923,0.009020821,0.008574501,0.002067898,0.013215853,0.0035474617,0.0103401635,0.018156959,0.015872244,0.0020207288,0.007647448,0.005563058,0.0073927627,0.004895712,0.005880088,0.0048918608,0.011616518,0.011999245,0.0071205273,0.005165545
M30,0.007210982,0.010146716,0.012346802,0.0066912766,0.026343746,0.0067267893,0.010193641,0.004621457,0.01224918,0.017559335,0.021274023,0.0106583955,0.01727217,0.015851269,0.018973464,0.008553325,0.01869381,0.002983151,0.013012466,0.0060926406,0.0151968775,0.009719807,0.011935552,0.01922643
M87,0.012031079,0.004954798,0.003088945,0.0057122605,0.008331109,0.011625484,0.0016511932,0.0053254,0.013129571,0.005189833,0.0070988904,0.007052816,0.0027202806,0.0030217525,0.0053037363,0.0044044103,0.010322353,0.009466519,0.0025521484,0.0054563894,0.018796105,0.008058478,0.004678628,0.0075062
M61,0.017203746,0.0055454085,0.012424,0.01146464,0.017500596,0.012927143,0.014273159,0.0066260314,0.025999125,0.008482375,0.005097344,0.0056095216,0.0094484715,0.03644465,0.0012953136,0.021856265,0.014181458,0.0024581018,0.017964344,0.014329242,0.02149817,0.011611682,0.0078237625,0.020877963
M34,0.01941557,0.025493061,0.0058674905,0.013711548,0.020942632,0.012573843,0.011446183,0.012151365,0.00874449,0.0033837254,0.020124337,0.014072483,0.020439819,0.01352599,0.009425888,0.024171177,0.010361504,0.024032729,0.010071704,0.022201851,0.009247286,0.016917167,0.010026593,0.0077854325
M28,0.0035105138,0.0016552982,0.017622111,0.013647966,0.006072423,0.004934134,0.0034938573,0.0070654866,0.017981814,0.008972307,0.0040213354,0.0072787674,0.012118797,0.0162386,0.005339551,0.009760555,0.010485495,0.014012875,0.0073437416,0.01296151,0.028527303,0.018454902,0.015806507,0.009566293
M91,0.016850468,0.014137348,0.015117673,0.0056039565,0.032077063,0.01255664,0.013497027,0.00994562,0.013830484,0.016425075,0.0079949545,0.013616582,0.0011742415,0.038147226,0.0063544167,0.008260305,0.02560618,0.005427936,0.008603328,0.0072984044,0.01540728,0.008207589,0.012253783,0.021341097
M5,0.01914881,0.014834217,0.0073997444,0.024124311,0.006778112,0.004357306,0.018657744,0.009268789,0.007202452,0.023918716,0.0060947645,0.018462516,0.021499684,0.022393892,0.017998284,0.016658092,0.023945265,0.007086355,0.020257201,0.024549002,0.025631933,0.009034903,0.019693865,0.020618523
M27,0.014309155,0.013413142,0.009974928,0.016225813,0.016092306,0.008708721,0.010762318,0.009603394,0.009236358,0.011301303,0.012298585,0.042010352,0.016879717,0.013952095,0.039406613,0.019564867,0.027398864,0.017795822,0.0075881537,0.020573543,0.008276141,0.021759853,0.005264572,0.014614838
M20,0.027035784,0.020515123,0.022696463,0.02023105,0.018601608,0.030451242,0.007874684,0.02086772,0.010892198,0.019195143,0.010896805,0.033535656,0.007422004,0.009892307,0.008172106,0.003212585,0.016124815,0.02336572,0.0071337745,0.038102746,0.0116022015,0.010993106,0.036346972,0.025026157
M93,0.02321635,0.016501669,0.03673488,0.03885583,0.024028089,0.012191979,0.021096976,0.014539533,0.011664987,0.0036317338,0.009789784,0.020931792,0.019376902,0.013721866,0.0093063,0.0014099837,0.011767407,0.0053343046,0.023525774,0.0069623375,0.034801383,0.027262345,0.022949565,0.023173645
M79,0.03012184,0.00954042,0.030917583,0.014181777,0.036936387,0.01736546,0.015030143,0.010765403,0.0119855935,0.005591528,0.032595426,0.023373498,0.016834982,0.012899792,0.00653537,0.017595604,0.012121807,0.00423927,0.009092656,0.03841755,0.008906348,0.0075233933,0.021919705,0.005483296
M17,0.0725966,0.03698479,0.034102637,0.033309784,0.027279332,0.0147060575,0.023993023,0.027894046,0.04632915,0.0130515685,0.019666968,0.031875804,0.021701872,0.06926485,0.024203157,0.03994011,0.0214431,0.01394643,0.009080198,0.019913452,0.037616413,0.045648072,0.0317138,0.043328617
M71,0.018984634,0.017150456,0.036657803,0.010062551,0.0069418545,0.012430194,0.022594059,0.016821299,0.02816858,0.01152643,0.008387649,0.015903594,0.01640347,0.029566098,0.02366766,0.0067992155,0.031661786,0.019083748,0.013000266,0.019495757,0.029643685,0.025262916,0.0041868566,0.016764663
M49,0.036227897,0.038095593,0.04879019,0.0406016,0.007237733,0.04493363,0.024783155,0.04204282,0.026119946,0.018919043,0.022234628,0.02226878,0.047290094,0.048837177,0.0377327,0.005273628,0.07216521,0.044600114,0.044747062,0.016205147,0.023117429,0.018481834,0.0060139294,0.03195717
M88,0.043566916,0.020695977,0.032061413,0.02029369,0.01763181,0.019170737,0.029514052,0.015762711,0.046305943,0.010081249,0.04626706,0.02581825,0.039551795,0.02885823,0.053176247,0.019102288,0.00941403,0.018865276,0.033360783,0.039791416,0.018832834,0.018214235,0.03217775,0.013912735
M69,0.037952013,0.036651835,0.020441227,0.04864729,0.0020618534,0.041254725,0.04438349,0.02756472,0.044700373,0.04369581,0.02943311,0.035949957,0.04785217,0.027425934,0.037404977,0.026768817,0.024080673,0.045998678,0.037279446,0.098728664,0.0743904,0.06710161,0.03580408,0.063451074
M80,0.04485178,0.016119888,0.030786749,0.0142666735,0.014067145,0.0063535366,0.016750475,0.006235783,0.025618954,0.017593257,0.050079606,0.041184403,0.030581916,0.049699396,0.0065986766,0.026709436,0.041368335,0.016121116,0.0090437215,0.029266004,0.0108333705,0.03039617,0.014319682,0.06341471
M31,0.03328679,0.03151188,0.05774307,0.017333131,0.015154794,0.058145165,0.027711175,0.053792723,0.021826515,0.0044146325,0.07355603,0.024432242,0.037555654,0.064323485,0.045216642,0.030952895,0.039090615,0.015276773,0.07311385,0.037953857,0.020405596,0.011077333,0.024009954,0.043482143
M9,0.093150474,0.027792463,0.019759465,0.027064973,0.07453458,0.1012923,0.0123446835,0.038323727,0.01926673,0.0502242,0.026606433,0.034873523,0.025378942,0.047507692,0.025939522,0.057534765,0.05859436,0.070779614,0.03788946,0.0028581778,0.018792715,0.019760238,0.06820742,0.027484167
M32,0.013461513,0.041507922,0.04414824,0.03931566,0.07824707,0.05787938,0.06355551,0.012658266,0.05223079,0.041404743,0.011239499,0.04690299,0.018877832,0.04374686,0.019971514,0.021700377,0.057247773,0.03075622,0.09297269,0.077500254,0.03192072,0.044127017,0.013151611,0.038271368
M33,0.037456293,0.030972345,0.019316822,0.070157185,0.049119007,0.023192698,0.07866591,0.049211137,0.031378843,0.052293923,0.038633082,0.047350008,0.035447527,0.054117016,0.045713153,0.017654993,0.020092763,0.039769486,0.03718387,0.046999764,0.06658031,0.02098926,0.059835892,0.037252963
M11,0.013698828,0.045688666,0.058530588,0.048598386,0.025239684,0.022015031,0.030622117,0.03964148,0.055417534,0.0058203777,0.030840015,0.023410814,0.02616841,0.037367567,0.02327688,0.05618108,0.02516035,0.052899994,0.018335665,0.012109885,0.05825472,0.019146431,0.015400292,0.04205548
M74,0.043949053,0.028794559,0.0725429,0.06784429,0.05465864,0.07089996,0.04353519,0.050705735,0.036576934,0.0155810565,0.019923905,0.059557658,0.024830643,0.04756712,0.040402584,0.106179014,0.062555425,0.06257718,0.08835534,0.007941102,0.030293409,0.04067794,0.021479303,0.035185535
M53,0.07058744,0.04006153,0.060438715,0.015663695,0.031668805,0.06451376,0.027965592,0.023429686,0.043072287,0.07817436,0.007684568,0.039291598,0.07867805,0.04902581,0.035032965,0.049136966,0.05423047,0.015351332,0.0053621866,0.053649567,0.0160086,0.027670555,0.0573423,0.040677804
M76,0.058151837,0.058643717,0.06600135,0.028503006,0.09461216,0.09325009,0.06908268,0.07126202,0.046214223,0.05232279,0.032487627,0.060970765,0.05672369,0.054584462,0.09281245,0.10572959,0.04603814,0.09407808,0.0790392,0.097197294,0.040947612,0.07093293,0.07479082,0.024384927
M3,0.03671665,0.040592827,0.024946982,0.079331666,0.018832948,0.11194689,0.06987797,0.056564376,0.05125393,0.035414588,0.013406959,0.05809465,0.05214786,0.033500105,0.01638057,0.049334552,0.07422923,0.027007144,0.02190402,0.027463473,0.02668125,0.03491131,0.0035236676,0.08467655
M50,0.06623185,0.021031236,0.10848214,0.027414164,0.058159027,0.07847651,0.008470054,0.03936059,0.05543325,0.054272674,0.051145867,0.022595098,0.01759562,0.05083486,0.05709936,0.01548482,0.009296565,0.040893935,0.0646038,0.06365199,0.019684093,0.017312959,0.015674172,0.05561515
M89,0.045085352,0.023257935,0.04809612,0.07933056,0.02662548,0.06821924,0.05655782,0.054297905,0.0117099155,0.010446602,0.03798475,0.07456603,0.023274079,0.059882484,0.092795044,0.08806574,0.05431219,0.06533774,0.031912692,0.06928196,0.0607665,0.027780775,0.01652113,0.06850908
M25,0.037141684,0.008699071,0.062103666,0.07657802,0.06251304,0.047479454,0.08748435,0.034094743,0.023402305,0.059601903,0.037920717,0.019713758,0.040658772,0.10773007,0.01580306,0.037818387,0.09585312,0.06258275,0.02562151,0.0766512,0.036514696,0.04426458,0.04918227,0.05160649
M92,0.033403553,0.05535566,0.02806841,0.04206796,0.032313146,0.05108468,0.061614547,0.07281158,0.03552332,0.03532265,0.040079247,0.05135528,0.021953482,0.04102019,0.044844374,0.04614349,0.09765121,0.015314217,0.056863155,0.08504172,0.03854882,0.073781475,0.023274742,0.034641962
M19,0.06864839,0.015079418,0.059492912,0.015334273,0.07381124,0.055968396,0.0036568101,0.057835687,0.06913873,0.06977399,0.03670856,0.04304333,0.029904872,0.038919736,0.05848312,0.0662193,0.05809865,0.0618765,0.087033585,0.05947016,0.051541544,0.051288687,0.021422416,0.038189355
M22,0.04209247,0.014288771,0.035546377,0.031636864,0.16157931,0.042258333,0.023370791,0.010766752,0.08694632,0.052408826,0.052989267,0.113369435,0.051117368,0.033500966,0.027369194,0.01711336,0.07247156,0.0113028465,0.049294356,0.07337176,0.038442597,0.04119296,0.04555884,0.05454127
