epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1838.533162,2297.774119,0.005273,0.210877,0.704451,192.804043,240.601768,0.004842,0.227529,0.683660,1.00e-04
2,1.000,1.000,721.980499,902.054223,0.004849,0.242932,0.694429,150.202114,187.317348,0.004631,0.260108,0.682213,1.00e-04
3,1.000,1.000,330.460060,412.620492,0.005117,0.276055,0.693606,126.775938,157.994312,0.005000,0.299505,0.684416,1.00e-04
4,1.000,1.000,239.509800,298.882058,0.005266,0.325764,0.696633,114.399288,142.464157,0.005197,0.358970,0.683114,1.00e-04
5,1.000,1.000,201.037011,250.723068,0.005250,0.392100,0.703368,104.231030,129.675961,0.005231,0.436742,0.683379,1.00e-04
6,1.000,1.000,182.741931,227.767793,0.005224,0.480061,0.697330,95.762571,118.996031,0.005236,0.530887,0.684231,1.00e-04
7,1.000,1.000,161.383822,200.971258,0.005224,0.580101,0.692758,87.108107,108.072546,0.005266,0.636074,0.684984,1.00e-04
8,1.000,1.000,142.282526,176.989424,0.005241,0.685526,0.691848,80.791035,100.072714,0.005268,0.739495,0.685239,1.00e-04
9,1.000,1.000,130.981801,162.755619,0.005258,0.792955,0.693661,74.725246,92.377598,0.005323,0.852685,0.683800,1.00e-04
10,1.000,1.000,122.210440,151.681171,0.005300,0.902594,0.695930,69.658306,85.931410,0.005336,0.965341,0.683177,1.00e-04
11,1.000,1.000,109.017973,135.083782,0.005295,1.010397,0.691955,65.069610,80.105885,0.005340,1.054936,0.683399,1.00e-04
12,1.000,1.000,105.183395,130.205712,0.005318,1.095522,0.690753,62.051268,76.250092,0.005379,1.137697,0.683656,1.00e-04
13,1.000,1.000,97.257748,120.220705,0.005352,1.172777,0.693396,58.294504,71.481470,0.005411,1.210206,0.684171,1.00e-04
14,1.000,1.000,96.395967,119.075307,0.005377,1.240039,0.696943,56.826447,69.578232,0.005424,1.278293,0.684428,1.00e-04
15,1.000,1.000,91.605485,113.030702,0.005400,1.297480,0.693097,53.898744,65.876890,0.005447,1.319849,0.684976,1.00e-04
16,1.000,1.000,85.494961,105.339976,0.005431,1.349588,0.694819,52.396401,63.941494,0.005490,1.377178,0.685354,1.00e-04
17,1.000,1.000,79.990349,98.411135,0.005457,1.398351,0.691961,49.946662,60.837320,0.005501,1.419168,0.685345,1.00e-04
18,1.000,1.000,79.066094,97.214455,0.005468,1.439983,0.690841,48.895764,59.483351,0.005531,1.459325,0.685990,1.00e-04
19,1.000,1.000,74.391738,91.335682,0.005512,1.475535,0.691769,48.077449,58.421980,0.005558,1.497768,0.686021,1.00e-04
20,1.000,1.000,72.624574,89.094322,0.005536,1.508016,0.691362,46.023447,55.825349,0.005587,1.526957,0.685657,1.00e-04
21,1.000,1.000,69.821398,85.558761,0.005561,1.539439,0.691931,45.361334,54.970992,0.005613,1.553514,0.686198,1.00e-04
22,1.000,1.000,66.819769,81.776829,0.005591,1.569472,0.691275,44.284306,53.595601,0.005648,1.582527,0.686423,1.00e-04
23,1.000,1.000,65.614639,80.246587,0.005625,1.592763,0.693294,42.768995,51.673490,0.005680,1.610458,0.686456,1.00e-04
24,1.000,1.000,61.293066,74.820188,0.005647,1.618098,0.689588,41.972679,50.659291,0.005698,1.629160,0.686792,1.00e-04
25,1.000,1.000,59.926542,73.092392,0.005681,1.637242,0.691445,40.358300,48.625928,0.005739,1.644636,0.686285,1.00e-04
26,1.000,1.000,57.572139,70.133900,0.005719,1.652410,0.692576,39.646684,47.716166,0.005769,1.664661,0.687036,1.00e-04
27,1.000,1.000,57.149991,69.589421,0.005749,1.668614,0.694813,39.025855,46.927159,0.005799,1.677586,0.687092,1.00e-04
28,1.000,1.000,55.378272,67.363830,0.005776,1.679892,0.693364,37.930402,45.548830,0.005831,1.686672,0.686674,1.00e-04
29,1.000,1.000,53.054971,64.450302,0.005808,1.689486,0.692464,37.482504,44.982299,0.005856,1.693234,0.686956,1.00e-04
30,1.000,1.000,51.745880,62.805885,0.005838,1.698205,0.689690,36.509935,43.753526,0.005895,1.706478,0.686065,1.00e-04
31,1.000,1.000,50.378872,61.089708,0.005873,1.705419,0.690354,35.693667,42.730152,0.005925,1.709596,0.685634,1.00e-04
32,1.000,1.000,48.259038,58.430380,0.005900,1.714697,0.691279,34.932876,41.768949,0.005950,1.719792,0.685616,1.00e-04
33,1.000,1.000,47.210959,57.112171,0.005929,1.723015,0.690335,34.980329,41.818850,0.005978,1.729189,0.685572,1.00e-04
34,1.000,1.000,46.758410,56.539752,0.005955,1.730201,0.688415,34.001343,40.588506,0.006006,1.735896,0.685079,1.00e-04
35,1.000,1.000,45.085404,54.440129,0.005989,1.737202,0.693740,33.455916,39.899499,0.006041,1.743046,0.685229,1.00e-04
36,1.000,1.000,43.901363,52.953430,0.006023,1.744549,0.690808,33.319308,39.723459,0.006070,1.748403,0.684812,1.00e-04
37,1.000,1.000,44.097941,53.194614,0.006044,1.748716,0.692207,32.297240,38.443107,0.006093,1.751263,0.684349,1.00e-04
38,1.000,1.000,41.823922,50.348172,0.006070,1.752740,0.691679,31.970712,38.028883,0.006118,1.757339,0.684193,1.00e-04
39,1.000,1.000,41.269791,49.650285,0.006100,1.757833,0.692078,31.516666,37.458364,0.006150,1.760332,0.683938,1.00e-04
40,1.000,1.000,40.871395,49.150527,0.006128,1.760136,0.689805,31.188240,37.045302,0.006177,1.762763,0.684220,1.00e-04
41,1.000,1.000,39.180569,47.034896,0.006158,1.762551,0.688418,30.723823,36.461142,0.006203,1.766346,0.684347,1.00e-04
42,1.000,1.000,38.729588,46.468151,0.006184,1.765112,0.690144,30.090619,35.668153,0.006228,1.767954,0.683747,1.00e-04
43,1.000,1.000,38.610731,46.316497,0.006205,1.768380,0.689324,29.622104,35.079701,0.006246,1.770642,0.684156,1.00e-04
44,1.000,1.000,36.965375,44.258237,0.006229,1.769657,0.690381,29.236876,34.597684,0.006277,1.771133,0.684003,1.00e-04
45,1.000,1.000,36.224859,43.332065,0.006257,1.770204,0.690181,28.802213,34.055036,0.006312,1.770460,0.683837,1.00e-04
