epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1013.463457,1266.823887,0.005405,0.000000,0.000000,136.155151,170.188683,0.005257,0.000000,0.000000,1.00e-04
2,1.000,1.000,780.251437,975.309111,0.005174,0.000000,0.000000,129.822510,162.273354,0.004778,0.000000,0.000000,1.00e-04
3,1.000,1.000,368.776388,460.965508,0.004970,0.000000,0.000000,121.766554,152.203331,0.004858,0.000000,0.000000,1.00e-04
4,1.000,1.000,234.856508,293.565394,0.005236,0.000000,0.000000,110.903936,138.624683,0.005236,0.000000,0.000000,1.00e-04
5,1.000,1.000,195.650749,244.558147,0.005283,0.000000,0.000000,101.175364,126.463930,0.005270,0.000000,0.000000,1.00e-04
6,1.000,1.000,167.851293,209.808879,0.005231,0.000000,0.000000,91.805523,114.751648,0.005254,0.000000,0.000000,1.00e-04
7,1.000,1.000,152.982787,191.223250,0.005232,0.000000,0.000000,83.625784,104.526943,0.005284,0.000000,0.000000,1.00e-04
8,1.000,1.000,133.836172,167.289960,0.005253,0.000000,0.000000,77.336857,96.665792,0.005276,0.000000,0.000000,1.00e-04
9,1.000,1.000,128.765495,160.951631,0.005236,0.000000,0.000000,72.158342,90.192654,0.005269,0.000000,0.000000,1.00e-04
10,1.000,1.000,118.952262,148.685073,0.005252,0.000000,0.000000,67.854650,84.813000,0.005311,0.000000,0.000000,1.00e-04
11,1.000,1.000,113.391764,141.734415,0.005288,0.000000,0.000000,64.436100,80.539782,0.005339,0.000000,0.000000,1.00e-04
12,1.000,1.000,110.314371,137.887657,0.005305,0.000000,0.000000,61.499249,76.868717,0.005343,0.000000,0.000000,1.00e-04
13,1.000,1.000,98.428264,123.030012,0.005316,0.000000,0.000000,58.906539,73.627798,0.005373,0.000000,0.000000,1.00e-04
14,1.000,1.000,96.507366,120.628859,0.005346,0.000000,0.000000,56.753146,70.936031,0.005400,0.000000,0.000000,1.00e-04
15,1.000,1.000,93.047486,116.303981,0.005375,0.000000,0.000000,54.949181,68.681051,0.005426,0.000000,0.000000,1.00e-04
16,1.000,1.000,88.952403,111.185107,0.005395,0.000000,0.000000,53.461670,66.821640,0.005443,0.000000,0.000000,1.00e-04
17,1.000,1.000,89.153790,111.436819,0.005417,0.000000,0.000000,52.216729,65.265435,0.005475,0.000000,0.000000,1.00e-04
18,1.000,1.000,83.678880,104.593150,0.005448,0.000000,0.000000,50.987949,63.729440,0.005496,0.000000,0.000000,1.00e-04
19,1.000,1.000,79.054311,98.812427,0.005460,0.000000,0.000000,49.950425,62.432514,0.005515,0.000000,0.000000,1.00e-04
20,1.000,1.000,76.114150,95.137202,0.005484,0.000000,0.000000,49.051436,61.308759,0.005535,0.000000,0.000000,1.00e-04
21,1.000,1.000,75.501208,94.371000,0.005508,0.000000,0.000000,48.256646,60.315244,0.005563,0.000000,0.000000,1.00e-04
22,1.000,1.000,73.994681,92.487812,0.005538,0.000000,0.000000,47.472613,59.335173,0.005594,0.000000,0.000000,1.00e-04
23,1.000,1.000,70.936571,88.665142,0.005570,0.000000,0.000000,46.843402,58.548619,0.005631,0.000000,0.000000,1.00e-04
24,1.000,1.000,69.355277,86.688485,0.005609,0.000000,0.000000,46.208652,57.755148,0.005667,0.000000,0.000000,1.00e-04
25,1.000,1.000,68.082017,85.096873,0.005647,0.000000,0.000000,45.649245,57.055871,0.005684,0.000000,0.000000,1.00e-04
26,1.000,1.000,65.303955,81.624280,0.005663,0.000000,0.000000,45.219119,56.518177,0.005720,0.000000,0.000000,1.00e-04
27,1.000,1.000,65.696491,82.114911,0.005702,0.000000,0.000000,44.722786,55.897729,0.005753,0.000000,0.000000,1.00e-04
28,1.000,1.000,64.869850,81.081583,0.005729,0.000000,0.000000,44.344647,55.425041,0.005767,0.000000,0.000000,1.00e-04
29,1.000,1.000,62.625932,78.276672,0.005742,0.000000,0.000000,44.011375,55.008432,0.005786,0.000000,0.000000,1.00e-04
30,1.000,1.000,61.043504,76.298613,0.005766,0.000000,0.000000,43.674427,54.587194,0.005838,0.000000,0.000000,1.00e-04
31,1.000,1.000,59.165102,73.950554,0.005823,0.000000,0.000000,43.367835,54.203913,0.005882,0.000000,0.000000,1.00e-04
32,1.000,1.000,58.602921,73.247789,0.005862,0.000000,0.000000,43.079195,53.843088,0.005905,0.000000,0.000000,1.00e-04
33,1.000,1.000,58.748699,73.430003,0.005870,0.000000,0.000000,42.801991,53.496572,0.005915,0.000000,0.000000,1.00e-04
34,1.000,1.000,58.554897,73.187727,0.005894,0.000000,0.000000,42.562861,53.197634,0.005942,0.000000,0.000000,1.00e-04
35,1.000,1.000,56.676683,70.839932,0.005921,0.000000,0.000000,42.473160,53.085473,0.005976,0.000000,0.000000,1.00e-04
36,1.000,1.000,56.117537,70.140959,0.005960,0.000000,0.000000,42.266345,52.826920,0.006010,0.000000,0.000000,1.00e-04
37,1.000,1.000,54.576910,68.215148,0.005988,0.000000,0.000000,42.022629,52.522235,0.006048,0.000000,0.000000,1.00e-04
