epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,779.852413,974.427305,0.000000,0.213296,0.699600,79.503252,98.974478,0.000000,0.233895,0.682749,1.00e-04
2,1.000,1.000,133.659985,166.648418,0.000000,0.252816,0.694978,57.471029,71.389528,0.000000,0.278421,0.683342,1.00e-04
3,1.000,1.000,77.861387,96.847493,0.000000,0.304184,0.700223,47.951626,59.432088,0.000000,0.336225,0.684888,1.00e-04
4,1.000,1.000,62.063482,77.037126,0.000000,0.368638,0.694352,45.051983,55.736129,0.000000,0.407942,0.683623,1.00e-04
5,1.000,1.000,53.076030,65.723473,0.000000,0.446971,0.698364,44.200096,54.584172,0.000000,0.494913,0.684139,1.00e-04
6,1.000,1.000,50.105168,61.914300,0.000000,0.543520,0.694558,43.741451,53.907170,0.000000,0.598536,0.684425,1.00e-04
7,1.000,1.000,47.073007,58.015393,0.000000,0.652596,0.693071,43.285415,53.220258,0.000000,0.715324,0.684748,1.00e-04
8,1.000,1.000,45.054616,55.370022,0.000000,0.774994,0.693012,41.957209,51.434570,0.000000,0.840607,0.685327,1.00e-04
9,1.000,1.000,43.019293,52.699363,0.000000,0.901132,0.694480,41.353292,50.555730,0.000000,0.964734,0.684605,1.00e-04
10,1.000,1.000,41.602714,50.807068,0.000000,1.022812,0.694041,40.505238,49.368323,0.000000,1.091987,0.684938,1.00e-04
11,1.000,1.000,39.884082,48.535609,0.000000,1.146588,0.691617,39.260152,47.696144,0.000000,1.207808,0.684949,1.00e-04
12,1.000,1.000,38.572379,46.788093,0.000000,1.253191,0.696755,38.160770,46.226311,0.000000,1.303232,0.685670,1.00e-04
13,1.000,1.000,37.009994,44.746470,0.000000,1.342564,0.693832,37.025576,44.727155,0.000000,1.383402,0.685651,1.00e-04
14,1.000,1.000,35.717163,43.059702,0.000000,1.413989,0.691048,36.085026,43.488311,0.000000,1.446393,0.686313,1.00e-04
15,1.000,1.000,34.679801,41.707812,0.000000,1.469799,0.688560,35.458047,42.653940,0.000000,1.496968,0.686591,1.00e-04
16,1.000,1.000,33.724672,40.465148,0.000000,1.517563,0.692512,34.685639,41.646641,0.000000,1.538860,0.686193,1.00e-04
17,1.000,1.000,32.782543,39.253735,0.000000,1.551284,0.692635,33.790503,40.499661,0.000000,1.566946,0.686091,1.00e-04
18,1.000,1.000,31.945333,38.178348,0.000000,1.580091,0.692906,32.794921,39.225396,0.000000,1.596764,0.685962,1.00e-04
19,1.000,1.000,31.227081,37.253600,0.000000,1.607449,0.691211,32.380713,38.682305,0.000000,1.622182,0.685614,1.00e-04
20,1.000,1.000,30.539011,36.369838,0.000000,1.630445,0.693920,31.774438,37.902656,0.000000,1.643916,0.685899,1.00e-04
21,1.000,1.000,29.776921,35.397860,0.000000,1.650171,0.692477,31.223709,37.196800,0.000000,1.661332,0.686017,1.00e-04
22,1.000,1.000,29.274545,34.753916,0.000000,1.666602,0.690651,30.357041,36.100089,0.000000,1.674678,0.686135,1.00e-04
23,1.000,1.000,28.742373,34.076162,0.000000,1.679303,0.690001,29.798057,35.388047,0.000000,1.687981,0.686172,1.00e-04
24,1.000,1.000,28.084255,33.241566,0.000000,1.690552,0.692801,29.409672,34.892809,0.000000,1.697716,0.686260,1.00e-04
25,1.000,1.000,27.721502,32.778760,0.000000,1.700699,0.689673,28.988752,34.356576,0.000000,1.707815,0.686194,1.00e-04
26,1.000,1.000,27.150323,32.056186,0.000000,1.708812,0.691619,28.504687,33.744097,0.000000,1.715158,0.686413,1.00e-04
27,1.000,1.000,26.707387,31.494262,0.000000,1.717142,0.691318,27.894970,32.974288,0.000000,1.722892,0.686132,1.00e-04
28,1.000,1.000,26.193086,30.844309,0.000000,1.723816,0.692931,27.714977,32.743302,0.000000,1.728981,0.685748,1.00e-04
29,1.000,1.000,25.962367,30.551514,0.000000,1.728901,0.690173,27.245556,32.152596,0.000000,1.732897,0.685808,1.00e-04
30,1.000,1.000,25.478891,29.943123,0.000000,1.732751,0.690959,27.114635,31.984853,0.000000,1.736985,0.685820,1.00e-04
31,1.000,1.000,25.182478,29.568874,0.000000,1.736267,0.691823,26.523562,31.241844,0.000000,1.741179,0.685713,1.00e-04
32,1.000,1.000,24.821294,29.113221,0.000000,1.741094,0.689208,26.117262,30.730474,0.000000,1.744695,0.685629,1.00e-04
33,1.000,1.000,24.431937,28.622248,0.000000,1.745119,0.690213,26.007164,30.588623,0.000000,1.748924,0.685630,1.00e-04
34,1.000,1.000,24.073305,28.171099,0.000000,1.747921,0.690443,25.662483,30.157468,0.000000,1.749262,0.685495,1.00e-04
35,1.000,1.000,23.689949,27.690356,0.000000,1.748911,0.692677,25.159392,29.526680,0.000000,1.751307,0.685013,1.00e-04
36,1.000,1.000,23.444383,27.382686,0.000000,1.750174,0.690470,24.875569,29.169771,0.000000,1.753486,0.684817,1.00e-04
37,1.000,1.000,23.094555,26.943392,0.000000,1.752397,0.689616,24.521504,28.724911,0.000000,1.755818,0.684604,1.00e-04
38,1.000,1.000,22.790799,26.561802,0.000000,1.754274,0.689689,24.284552,28.426748,0.000000,1.757756,0.684744,1.00e-04
39,1.000,1.000,22.452301,26.135409,0.000000,1.757378,0.690356,24.207400,28.327751,0.000000,1.760340,0.684630,1.00e-04
40,1.000,1.000,22.222599,25.847208,0.000000,1.758760,0.689124,23.486957,27.426134,0.000000,1.761480,0.684325,1.00e-04
41,1.000,1.000,21.896351,25.438223,0.000000,1.759608,0.690425,23.623703,27.598060,0.000000,1.760498,0.684280,1.00e-04
42,1.000,1.000,21.712651,25.210051,0.000000,1.758086,0.690705,23.268473,27.156162,0.000000,1.758356,0.684287,1.00e-04
43,1.000,1.000,21.470548,24.909720,0.000000,1.755282,0.692730,23.204149,27.077915,0.000000,1.756262,0.684039,1.00e-04
44,1.000,1.000,21.102360,24.450881,0.000000,1.754389,0.690719,22.684728,26.427506,0.000000,1.757381,0.684093,1.00e-04
45,1.000,1.000,20.912377,24.213115,0.000000,1.754668,0.690748,22.672679,26.413669,0.000000,1.756179,0.684005,1.00e-04
46,1.000,1.000,20.631440,23.862475,0.000000,1.754055,0.691078,22.487789,26.182647,0.000000,1.756137,0.683805,1.00e-04
47,1.000,1.000,20.487854,23.682591,0.000000,1.754577,0.690596,22.072371,25.661101,0.000000,1.758379,0.683934,1.00e-04
48,1.000,1.000,20.339830,23.495874,0.000000,1.756669,0.688975,22.121311,25.721263,0.000000,1.759447,0.683712,1.00e-04
49,1.000,1.000,20.119366,23.217991,0.000000,1.758672,0.690173,21.397994,24.815012,0.000000,1.761526,0.683813,1.00e-04
50,1.000,1.000,19.972147,23.033488,0.000000,1.759411,0.689136,21.614655,25.086010,0.000000,1.761307,0.684003,1.00e-04
51,1.000,1.000,19.683375,22.672673,0.000000,1.758816,0.690918,21.127147,24.477682,0.000000,1.760225,0.684106,1.00e-04
52,1.000,1.000,19.511805,22.459007,0.000000,1.758262,0.689948,20.980337,24.294304,0.000000,1.760056,0.684238,1.00e-04
53,1.000,1.000,19.278935,22.170449,0.000000,1.755892,0.689311,20.766049,24.029839,0.000000,1.756654,0.684272,1.00e-04
54,1.000,1.000,19.090587,21.934897,0.000000,1.756158,0.688712,20.593575,23.811852,0.000000,1.759074,0.684167,1.00e-04
55,1.000,1.000,18.801941,21.574640,0.000000,1.755271,0.690054,20.463375,23.650870,0.000000,1.757359,0.683954,1.00e-04
56,1.000,1.000,18.626808,21.355904,0.000000,1.755208,0.689591,20.110802,23.208593,0.000000,1.758889,0.684083,1.00e-04
57,1.000,1.000,18.390955,21.057199,0.000000,1.758812,0.690730,20.175842,23.285682,0.000000,1.763072,0.684196,1.00e-04
58,1.000,1.000,18.188881,20.802098,0.000000,1.761319,0.690735,19.729863,22.727143,0.000000,1.764237,0.683792,1.00e-04
59,1.000,1.000,18.013648,20.581720,0.000000,1.762222,0.692473,19.889026,22.926392,0.000000,1.764022,0.683475,1.00e-04
60,1.000,1.000,17.837768,20.363465,0.000000,1.761504,0.688963,19.626071,22.598076,0.000000,1.763663,0.683403,1.00e-04
61,1.000,1.000,17.689898,20.179065,0.000000,1.760631,0.690704,19.287432,22.176660,0.000000,1.761784,0.683386,1.00e-04
62,1.000,1.000,17.495940,19.936957,0.000000,1.760555,0.689652,18.768951,21.527441,0.000000,1.762855,0.683571,1.00e-04
63,1.000,1.000,17.346531,19.750525,0.000000,1.760079,0.690237,18.933511,21.732689,0.000000,1.763287,0.683645,1.00e-04
64,1.000,1.000,17.203760,19.570138,0.000000,1.761746,0.691264,18.667109,21.397975,0.000000,1.765015,0.683580,1.00e-04
65,1.000,1.000,17.139378,19.488878,0.000000,1.762839,0.690019,18.837909,21.607602,0.000000,1.768912,0.683484,1.00e-04
66,1.000,1.000,16.861767,19.138270,0.000000,1.766053,0.691541,18.544514,21.243519,0.000000,1.766293,0.683322,1.00e-04
67,1.000,1.000,16.749519,19.001945,0.000000,1.762404,0.690199,18.415430,21.082629,0.000000,1.765849,0.683233,1.00e-04
68,1.000,1.000,16.607612,18.820923,0.000000,1.766058,0.690136,18.184803,20.790669,0.000000,1.769553,0.683123,1.00e-04
69,1.000,1.000,16.421469,18.588642,0.000000,1.765567,0.690507,18.046362,20.621462,0.000000,1.765752,0.682951,1.00e-04
70,1.000,1.000,16.337316,18.487520,0.000000,1.761463,0.690647,18.142189,20.743675,0.000000,1.763315,0.682981,1.00e-04
71,1.000,1.000,16.098916,18.190535,0.000000,1.760609,0.690003,17.580043,20.040746,0.000000,1.763586,0.682883,1.00e-04
72,1.000,1.000,15.929942,17.981039,0.000000,1.759112,0.689104,18.043974,20.624346,0.000000,1.759893,0.682909,1.00e-04
73,1.000,1.000,16.077243,18.162901,0.000000,1.760843,0.691235,17.421737,19.838005,0.000000,1.768361,0.683217,1.00e-04
74,1.000,1.000,15.800321,17.807482,0.000000,1.769847,0.692288,17.127471,19.462594,0.000000,1.775979,0.683064,1.00e-04
75,1.000,1.000,15.639619,17.602369,0.000000,1.774579,0.690299,17.127297,19.460454,0.000000,1.777918,0.682995,1.00e-04
76,1.000,1.000,15.420453,17.329934,0.000000,1.772968,0.690656,17.059865,19.383036,0.000000,1.771028,0.683067,1.00e-04
77,1.000,1.000,15.328601,17.222825,0.000000,1.765294,0.690529,17.053205,19.380610,0.000000,1.765206,0.682759,1.00e-04
78,1.000,1.000,15.223393,17.096519,0.000000,1.760378,0.689373,16.808301,19.078165,0.000000,1.761568,0.682572,1.00e-04
79,1.000,1.000,15.105281,16.948637,0.000000,1.759961,0.692013,16.743660,18.993817,0.000000,1.765146,0.682453,1.00e-04
80,1.000,1.000,14.904155,16.691973,0.000000,1.765507,0.690855,16.303868,18.436067,0.000000,1.773203,0.682258,1.00e-04
81,1.000,1.000,14.799594,16.554081,0.000000,1.772979,0.689729,16.219601,18.328729,0.000000,1.775253,0.682077,1.00e-04
82,1.000,1.000,14.674329,16.400685,0.000000,1.770004,0.688888,16.380429,18.536501,0.000000,1.768506,0.682117,1.00e-04
83,1.000,1.000,14.588295,16.299444,0.000000,1.763628,0.689184,16.334864,18.484603,0.000000,1.763450,0.682103,1.00e-04
84,1.000,1.000,14.471999,16.159349,0.000000,1.758574,0.688304,15.983522,18.050264,0.000000,1.758639,0.682000,1.00e-04
85,1.000,1.000,14.307273,15.954128,0.000000,1.758098,0.687457,15.584401,17.548253,0.000000,1.761755,0.681971,1.00e-04
86,1.000,1.000,14.212726,15.835653,0.000000,1.757794,0.689841,15.734579,17.739731,0.000000,1.758054,0.681751,1.00e-04
87,1.000,1.000,14.134295,15.741224,0.000000,1.753818,0.691307,15.614750,17.590207,0.000000,1.757719,0.682044,1.00e-04
88,1.000,1.000,13.980558,15.545944,0.000000,1.757592,0.688645,15.297541,17.190606,0.000000,1.760861,0.681836,1.00e-04
89,1.000,1.000,13.888615,15.430053,0.000000,1.758311,0.689616,15.515818,17.462257,0.000000,1.762101,0.681656,1.00e-04
90,1.000,1.000,13.823742,15.346757,0.000000,1.760391,0.690116,15.428946,17.353752,0.000000,1.762040,0.681562,1.00e-04
91,1.000,1.000,13.699279,15.194104,0.000000,1.757195,0.691198,15.298770,17.192169,0.000000,1.760883,0.681645,1.00e-04
92,1.000,1.000,13.636285,15.111705,0.000000,1.761330,0.689283,14.995562,16.805983,0.000000,1.768027,0.681770,1.00e-04
93,1.000,1.000,13.555384,15.004329,0.000000,1.767458,0.689773,14.865010,16.643442,0.000000,1.767428,0.681565,1.00e-04
94,1.000,1.000,13.442817,14.868534,0.000000,1.762786,0.688802,14.865803,16.648678,0.000000,1.763236,0.681354,1.00e-04
95,1.000,1.000,13.269659,14.656533,0.000000,1.758220,0.689283,14.715619,16.464662,0.000000,1.759524,0.681354,1.00e-04
96,1.000,1.000,13.246209,14.632616,0.000000,1.752679,0.689864,14.506233,16.213313,0.000000,1.749207,0.681090,1.00e-04
97,1.000,1.000,13.153538,14.524630,0.000000,1.744986,0.689229,14.524723,16.238749,0.000000,1.746892,0.681051,1.00e-04
98,1.000,1.000,13.063763,14.411626,0.000000,1.745377,0.690807,14.396490,16.073977,0.000000,1.751409,0.680905,1.00e-04
99,1.000,1.000,12.997342,14.321605,0.000000,1.752822,0.688998,14.488176,16.176487,0.000000,1.763476,0.681028,1.00e-04
100,1.000,1.000,12.824784,14.096639,0.000000,1.762119,0.688888,14.331474,15.980711,0.000000,1.763343,0.681156,1.00e-04
101,1.000,1.000,12.779446,14.043744,0.000000,1.757943,0.690477,14.064855,15.654062,0.000000,1.756702,0.681215,1.00e-04
102,1.000,1.000,12.757176,14.020000,0.000000,1.754089,0.689523,13.971830,15.537281,0.000000,1.757216,0.681160,1.00e-04
103,1.000,1.000,12.626417,13.855957,0.000000,1.755059,0.688022,13.838337,15.366379,0.000000,1.761310,0.680926,1.00e-04
104,1.000,1.000,12.524307,13.724220,0.000000,1.759027,0.688547,13.941447,15.495203,0.000000,1.761263,0.681372,1.00e-04
105,1.000,1.000,12.446261,13.629293,0.000000,1.756298,0.688943,13.637676,15.117367,0.000000,1.759406,0.681287,1.00e-04
106,1.000,1.000,12.334346,13.489585,0.000000,1.756144,0.688817,13.631634,15.109922,0.000000,1.759281,0.681356,1.00e-04
107,1.000,1.000,12.204935,13.328310,0.000000,1.755180,0.690715,13.625333,15.103341,0.000000,1.758091,0.680939,1.00e-04
108,1.000,1.000,12.153664,13.264474,0.000000,1.755269,0.689346,13.396022,14.816942,0.000000,1.757854,0.680923,1.00e-04
109,1.000,1.000,12.076071,13.170597,0.000000,1.752460,0.688129,13.486162,14.935896,0.000000,1.751560,0.680985,1.00e-04
110,1.000,1.000,12.044364,13.132168,0.000000,1.750899,0.689553,13.413137,14.840257,0.000000,1.755943,0.680882,1.00e-04
111,1.000,1.000,11.921442,12.980372,0.000000,1.749399,0.688124,13.241976,14.633436,0.000000,1.748767,0.681067,1.00e-04
112,1.000,1.000,11.906726,12.963155,0.000000,1.748136,0.688467,13.198390,14.571681,0.000000,1.756033,0.681090,1.00e-04
113,1.000,1.000,11.848459,12.881831,0.000000,1.756362,0.689520,13.228577,14.604899,0.000000,1.760624,0.680791,1.00e-04
