epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,955.993309,1194.427406,0.000000,0.205429,1.435153,106.824730,132.957644,0.000000,0.219022,1.416977,1.00e-04
2,1.000,1.000,202.796217,252.909313,0.000000,0.228194,1.431033,65.376650,81.124628,0.000000,0.243770,1.409655,1.00e-04
3,1.000,1.000,112.662259,140.215083,0.000000,0.256496,1.424960,58.364683,72.327687,0.000000,0.276962,1.404820,1.00e-04
4,1.000,1.000,77.055440,95.674747,0.000000,0.291985,1.410267,53.415557,66.105083,0.000000,0.314273,1.400359,1.00e-04
5,1.000,1.000,67.986388,84.298035,0.000000,0.331368,1.414320,49.080268,60.644607,0.000000,0.356464,1.397046,1.00e-04
6,1.000,1.000,59.580179,73.744581,0.000000,0.377858,1.411140,47.665345,58.823965,0.000000,0.408363,1.397417,1.00e-04
7,1.000,1.000,55.455532,68.534478,0.000000,0.432617,1.409278,47.581993,58.659756,0.000000,0.468550,1.396743,1.00e-04
8,1.000,1.000,51.760288,63.852859,0.000000,0.495453,1.408183,46.147282,56.803436,0.000000,0.531324,1.397364,1.00e-04
9,1.000,1.000,48.969619,60.296756,0.000000,0.563645,1.406492,45.257994,55.615468,0.000000,0.608518,1.394023,1.00e-04
10,1.000,1.000,47.330607,58.170533,0.000000,0.641688,1.404144,44.619184,54.739827,0.000000,0.685434,1.394875,1.00e-04
11,1.000,1.000,45.549915,55.866067,0.000000,0.721499,1.399308,43.881661,53.737681,0.000000,0.766286,1.392436,1.00e-04
12,1.000,1.000,44.527952,54.506746,0.000000,0.801916,1.405106,43.255012,52.872189,0.000000,0.848716,1.391433,1.00e-04
13,1.000,1.000,43.548332,53.199481,0.000000,0.886094,1.399358,43.374890,52.936360,0.000000,0.934264,1.391952,1.00e-04
14,1.000,1.000,42.499914,51.803148,0.000000,0.971190,1.402214,42.839473,52.181844,0.000000,1.019568,1.391721,1.00e-04
15,1.000,1.000,41.673834,50.689367,0.000000,1.053296,1.398518,42.065954,51.140784,0.000000,1.093833,1.391293,1.00e-04
16,1.000,1.000,40.814672,49.542847,0.000000,1.126386,1.396429,41.828691,50.770209,0.000000,1.168022,1.390527,1.00e-04
17,1.000,1.000,39.952750,48.396565,0.000000,1.194874,1.397989,41.870024,50.762931,0.000000,1.227216,1.389527,1.00e-04
18,1.000,1.000,39.172489,47.366141,0.000000,1.251081,1.393554,40.935278,49.539395,0.000000,1.282518,1.388731,1.00e-04
19,1.000,1.000,38.509798,46.485140,0.000000,1.303705,1.393607,40.856879,49.399353,0.000000,1.324936,1.387239,1.00e-04
20,1.000,1.000,37.597282,45.303868,0.000000,1.343928,1.395220,39.785871,48.020868,0.000000,1.364614,1.387418,1.00e-04
