epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
1,1.000,1.000,1006.544498,1257.690801,0.000000,0.198658,1.164608,102.197199,127.227896,0.000000,0.216869,1.206914,1.00e-04
2,1.000,1.000,210.534170,262.644099,0.000000,0.227295,1.185243,68.619758,85.231489,0.000000,0.246010,1.188791,1.00e-04
3,1.000,1.000,114.491980,142.567730,0.000000,0.255699,1.166181,53.202874,65.936684,0.000000,0.274729,1.168720,1.00e-04
4,1.000,1.000,80.208029,99.689098,0.000000,0.285590,1.141381,51.028896,63.193950,0.000000,0.306854,1.141259,1.00e-04
5,1.000,1.000,66.835129,82.943141,0.000000,0.319904,1.123459,48.659313,60.196158,0.000000,0.343512,1.137885,1.00e-04
6,1.000,1.000,58.682922,72.713514,0.000000,0.358641,1.125988,45.974626,56.802661,0.000000,0.382945,1.130693,1.00e-04
7,1.000,1.000,53.787246,66.553258,0.000000,0.401353,1.117778,45.411231,56.050442,0.000000,0.429465,1.136527,1.00e-04
8,1.000,1.000,50.867595,62.853125,0.000000,0.451659,1.118834,44.968298,55.446145,0.000000,0.481880,1.129392,1.00e-04
9,1.000,1.000,48.069171,59.299747,0.000000,0.507819,1.115594,44.472382,54.770126,0.000000,0.538635,1.126859,1.00e-04
10,1.000,1.000,46.063273,56.732098,0.000000,0.569124,1.111473,43.987737,54.100344,0.000000,0.604253,1.120295,1.00e-04
11,1.000,1.000,45.063330,55.414935,0.000000,0.638549,1.102709,43.637944,53.595361,0.000000,0.672781,1.117154,1.00e-04
12,1.000,1.000,43.876912,53.861765,0.000000,0.709839,1.098142,43.247994,53.041172,0.000000,0.742619,1.104814,1.00e-04
13,1.000,1.000,42.822236,52.473467,0.000000,0.780828,1.093997,42.437321,51.959755,0.000000,0.811593,1.101211,1.00e-04
14,1.000,1.000,41.395391,50.623637,0.000000,0.848738,1.087451,41.620856,50.874436,0.000000,0.877605,1.096107,1.00e-04
15,1.000,1.000,40.338918,49.237202,0.000000,0.915744,1.082799,41.170606,50.247577,0.000000,0.943673,1.088022,1.00e-04
